Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
608,tt11199356,Bheeshma,2020,"Action, Comedy, Romance","Bheeshma is a young bachelor who is desperate to find a girlfriend. One day, he meets and falls in love with Chaitra, who works for an organics company that coincidentally carries his first name.",Venky Kudumula,"Nithiin, Rashmika Mandanna, Anant Nag, Jisshu Sengupta",https://m.media-amazon.com/images/M/MV5BODU2ZGQ2ZTctYTM4ZC00MzUxLWI0MDQtZmY0MTUyYmNiYTFmXkEyXkFqcGc@._V1_.jpg,6.6,5038
609,tt10243678,Chopsticks,2019,"Comedy, Drama",A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz, Achint Kaur",https://m.media-amazon.com/images/M/MV5BZTY4OTdhYWItMDAyOC00YzI5LTkzMDgtMmI2NzFiMTBmNjc2XkEyXkFqcGc@._V1_.jpg,6.5,5207
610,tt11142762,Pagglait,2021,"Comedy, Drama","Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband.",Umesh Bist,"Sanya Malhotra, Sayani Gupta, Sheeba Chaddha, Ashutosh Rana",https://m.media-amazon.com/images/M/MV5BMDczN2RkMjAtNDk0Yy00NGVjLWI0MjEtNzUzNjdmMWUwYTc4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.9,10373
611,tt1949548,Heroine,2012,Drama,A female superstar struggles through the trials and tribulations of being a Bollywood actress.,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Shahana Goswami",https://m.media-amazon.com/images/M/MV5BMDBkYzNkNzUtZjkwOS00NGYxLTkwY2QtMjQwMzE3NDA5YTk3XkEyXkFqcGc@._V1_.jpg,5,4691
612,tt2072227,Shanghai,2012,"Crime, Drama, Mystery",Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,Dibakar Banerjee,"Abhay Deol, Emraan Hashmi, Kalki Koechlin, Prasenjit Chatterjee",https://m.media-amazon.com/images/M/MV5BM2YxZTNkMzctMzg5Mi00MzZmLWIyYzMtMjlmM2E3NmE0OGEwXkEyXkFqcGc@._V1_.jpg,7.2,10680
613,tt6170954,Naam Shabana,2017,"Action, Drama, Thriller","This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana, and chronicles how she becomes a spy.",Shivam Nair,"Taapsee Pannu, Akshay Kumar, Manoj Bajpayee, Taher Shabbir",https://m.media-amazon.com/images/M/MV5BMTkxMDk1Mjc2NF5BMl5BanBnXkFtZTgwNjk4Njk3MTI@._V1_.jpg,6.2,7629
614,tt3696192,Singh Is Bliing,2015,"Action, Comedy, Romance",A lazy youth failing to take up any responsibility is sent to work with his father's friend in Goa where he meets a woman who has problems of her own.,Prabhu Deva,"Akshay Kumar, Amy Jackson, Lara Dutta, Kay Kay Menon",https://m.media-amazon.com/images/M/MV5BYTFmNmFlMTUtMjU2OC00NGNkLWI4NTItMDk3N2I4NDdlODMwXkEyXkFqcGc@._V1_.jpg,5,9480
615,tt11095208,Beautiful,X2020,Drama,"Beautiful is about ""Can a man take it , if his woman becomes more successful than him?"" It's not about professional jealousy like Abhimaan and Aashiqui 2 but it's about Male pride It's a ...                See full summary »",Agasthya Manju,"Raknil Avro, K K Binojee, Erixnil, Naina Ganguly",https://m.media-amazon.com/images/M/MV5BZTA2NDY2ZDAtMDM1OC00NTU5LWExMDEtMGY0NTA5NDg3MGEwXkEyXkFqcGc@._V1_.jpg,7.2,89
616,tt2417560,Filmistaan,2012,Comedy,"In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown ...                See full summary »",Nitin Kakkar,"Sharib Hashmi, Inaamulhaq, Kumud Mishra, Gopal Datt",https://m.media-amazon.com/images/M/MV5BMTYzNjAwNzc4OF5BMl5BanBnXkFtZTgwODY1MTk3MTE@._V1_.jpg,7.3,3694
617,tt0222024,Hum Tumhare Hain Sanam,2002,"Comedy, Drama, Romance","Gopal's blissful married life with Radha blemishes when Radha gets obsessed with the career of her friend, Suraj, who is a singer. Ripped apart by jealousy, Gopal deserts Radha.","K.S. Adiyaman, Sanjay Singh","Shah Rukh Khan, Madhuri Dixit, Salman Khan, Atul Agnihotri",https://m.media-amazon.com/images/M/MV5BNGIxYTZmMmItNmRlNy00ZDI0LWJlYmEtMjM2NTA0ZDllN2Y1XkEyXkFqcGc@._V1_.jpg,5.4,7998
618,tt0082797,Naseeb,1981,"Action, Musical, Romance",A lottery ticket changes the lives of four friends.,Manmohan Desai,"Amitabh Bachchan, Shatrughan Sinha, Rishi Kapoor, Hema Malini",https://m.media-amazon.com/images/M/MV5BMTlkNWRjNmUtOWE4Ni00YTRhLWE5MmYtM2FjNWE1YWMxYzFiXkEyXkFqcGc@._V1_.jpg,7.1,2036
619,tt5465370,Akira,2016,"Action, Thriller","A gripping action thriller about a college girl Akira, who has grown up with the ideals of being self reliant. Her life spirals out of control when she becomes unwittingly involved in a crime involving four corrupt police officers.",A.R. Murugadoss,"Sonakshi Sinha, Anurag Kashyap, Konkona Sen Sharma, Nandu Madhav",https://m.media-amazon.com/images/M/MV5BY2I1NzQwNWEtZDhmYi00NTFjLWFhMDktZjAzY2NjNDhiYTJkXkEyXkFqcGc@._V1_.jpg,5.9,4542
620,tt8108200,Sonchiriya,2019,"Action, Crime, Drama","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",Abhishek Chaubey,"Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana, Ranvir Shorey",https://m.media-amazon.com/images/M/MV5BYTA1MGI1NDEtOTY2Ni00ZTQxLWEwY2EtMzIzNTQxMzY0NDg4XkEyXkFqcGc@._V1_.jpg,7.9,13102
621,tt1049405,The Other End of the Line,2007,"Comedy, Drama, Family",An employee at an Indian call-center travels to San Francisco to be with a guy she falls for over the phone.,James Dodson,"Jesse Metcalfe, Sara Foster, Anupam Kher, Austin Basis",https://m.media-amazon.com/images/M/MV5BMTQ3MTMzMjcxOF5BMl5BanBnXkFtZTcwMzI5NTg5MQ@@._V1_.jpg,6.1,6363
622,tt6264938,Kesari,2019,"Action, Drama, History","Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",Anurag Singh,"Akshay Kumar, Parineeti Chopra, Suvinder Vicky, Vansh Bhardwaj",https://m.media-amazon.com/images/M/MV5BMmUyYzA3MGQtNzE0Zi00Nzg0LTk4NTAtNDQ3YWQ4M2IwMWYxXkEyXkFqcGc@._V1_.jpg,7.4,22310
623,tt0085743,Jaane Bhi Do Yaaro,1983,"Comedy, Crime, Drama","Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light.",Kundan Shah,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve, Satish Shah",https://m.media-amazon.com/images/M/MV5BNzhhN2NlZmQtZDFmMi00ODA3LThjNTQtMmFhMzViZDcxZWFkXkEyXkFqcGc@._V1_.jpg,8.3,14969
624,tt12045028,Nympho: The Lust Story,2020,"Drama, Romance, Thriller",Nympho is a lust story of a girl called Rachael. She is a nymphomaniac. She is a sex addict. She is not a single man woman.,Kumaar Aadarsh,"Natasha Majhi, Mohnish Nawani, Vikhyat Swades, Pooja Jangid",https://m.media-amazon.com/images/M/MV5BZGZmMzRmZTEtMDg2My00YjBjLWI4OTMtNjk2ZTVhMTVhOWE2XkEyXkFqcGc@._V1_.jpg,5.3,63
625,tt4334260,San' 75 (Pachattar),2022,Thriller,"In 1975, India was declared in a state of emergency. This movie tells a story of that year and how the first mobile phone arrived to India.",Navneet Behal,"Pravessh Rana, Kay Kay Menon, Kirti Kulhari, Tom Alter",Not Available,,
626,tt2301155,Shootout at Wadala,2013,"Action, Biography, Crime","Based on the true story of the first-ever registered encounter by the Mumbai Police, which took place on November 1, 1982.",Sanjay Gupta,"Anil Kapoor, John Abraham, Manoj Bajpayee, Tusshar Kapoor",https://m.media-amazon.com/images/M/MV5BOTE0NDIwNTEtNTI4NS00MWE4LWJiMWMtNjVjZGMwMzllYTE2XkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_.jpg,6,7643
627,tt1918965,Murder 2,2011,"Action, Crime, Drama",An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.,Mohit Suri,"Emraan Hashmi, Jacqueline Fernandez, Prashant Narayanan, Sulagna Panigrahi",https://m.media-amazon.com/images/M/MV5BYWRlMWMwMDItODVjYS00MTAxLTg4NmEtMmFjZGRiZGE1YmI3XkEyXkFqcGc@._V1_.jpg,6.3,7954
628,tt0886539,Luck by Chance,2009,Drama,"When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.",Zoya Akhtar,"Farhan Akhtar, Konkona Sen Sharma, Rishi Kapoor, Dimple Kapadia",https://m.media-amazon.com/images/M/MV5BMTY4NjIxNDc3Nl5BMl5BanBnXkFtZTcwNDc4NTk5Mw@@._V1_.jpg,7.1,11146
629,tt0234000,Kaho Naa... Pyaar Hai,2000,"Action, Musical, Romance",A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.,Rakesh Roshan,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil",https://m.media-amazon.com/images/M/MV5BNDUzNGRhMDAtYjk1Yy00OWFjLTgzNTYtYzFkYjcxMzhkYTQwXkEyXkFqcGc@._V1_.jpg,6.9,16881
630,tt1433905,All the Best: Fun Begins,2009,"Action, Comedy, Drama",The unexpected arrival of his elder NRI brother and assorted characters complicates the life of a Goan male.,Rohit Shetty,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu",https://m.media-amazon.com/images/M/MV5BODc5NjI0YWMtNTZlNy00Mjg3LWEwZTAtYTFhMWNkNDIyNjY4XkEyXkFqcGc@._V1_.jpg,6.2,7275
631,tt1610452,Band Baaja Baaraat,2010,"Comedy, Drama, Romance","Shruti and Bittoo become partners in their very own ""Wedding planning ka bijness"" in Delhi and in the process discover friendship, love and one another.",Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Ranjit Batra, Satender Bhardwaj",https://m.media-amazon.com/images/M/MV5BMzRmYmY4MDItNWEyZi00MGI3LTgwMDgtYjBiZDcxNjk3NTFlXkEyXkFqcGc@._V1_.jpg,7.2,18722
632,tt6514196,Baazaar,2018,"Crime, Drama, Thriller","After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.","Gauravv K. Chawla, Samuel Wilde","Saif Ali Khan, Radhika Apte, Chitrangda Singh, Denzil Smith",https://m.media-amazon.com/images/M/MV5BNWFkYmY4YjQtYjhmOC00YTkzLTgzZTQtYjUzZDM1MGRmMmRhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.5,6153
633,tt5686868,Miss Teacher,2016,Romance,"Rose Dey is the new teacher at the university. She is very attractive and is a nymphomaniac. At the university, Rose meets Tanvesh and an affair begins.",Jayprakkash Shaw,"Kamalika Chanda, Rahul Sharma, Resham Thakkar, Adi Irani",https://m.media-amazon.com/images/M/MV5BYmIxZTEwMGMtZWZjNy00OWE0LWJkOTUtYTUyNWU1YzNlY2FmXkEyXkFqcGc@._V1_.jpg,3.1,469
634,tt0307873,Raaz,2002,"Drama, Horror, Musical","Sanjana and Aditya decide to give their marriage one last chance. They plan a holiday in Ooty, but they don't know that a strange figure is waiting for them to come.",Vikram Bhatt,"Dino Morea, Bipasha Basu, Malini Sharma, Ashutosh Rana",https://m.media-amazon.com/images/M/MV5BNzczNDNhYjctNWM2MC00Y2RlLWIyZDYtMTE1MjI0ZmVmYWY4XkEyXkFqcGc@._V1_.jpg,6.6,4286
635,tt0291376,Nayak: The Real Hero,2001,"Action, Drama, Thriller","A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue.",S. Shankar,"Anil Kapoor, Rani Mukerji, Amrish Puri, Paresh Rawal",https://m.media-amazon.com/images/M/MV5BNTA1Y2Y1MGUtNDE5OC00ZWIzLWI2YmItOTEwOWMxMDA1OWYyXkEyXkFqcGc@._V1_.jpg,7.8,18449
636,tt1017456,Race,2008,"Action, Crime, Drama",Destiny makes two brothers- Ranvir and Rajiv - enemies of each other. Everything is fair in love and war.,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif",https://m.media-amazon.com/images/M/MV5BOTUxODczMjI3MV5BMl5BanBnXkFtZTcwMTExODM2MQ@@._V1_.jpg,6.7,16422
637,tt28152747,Sergeant,2023,"Drama, Thriller","Sergeant suffers from severe depression after losing a limb on duty. After meeting Monica, he gains confidence and vows to reclaim his previous life by solving a critical case.",Prawaal Raman,"Tahirr Aashhraf, Daphne Alexander, Malcolm Davies, Sonia Goswami",https://m.media-amazon.com/images/M/MV5BOTI5NzY2MWYtOTNkZi00YzFhLTk1YTQtYzU3ODI3Mzc2MGNiXkEyXkFqcGc@._V1_.jpg,3.8,452
638,tt0466460,Khosla Ka Ghosla!,2006,"Comedy, Crime, Drama",A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,"Dibakar Banerjee, Pravin E. Birje","Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma",https://m.media-amazon.com/images/M/MV5BNWI1M2YxZWMtN2JiZi00MmJjLWE4NjgtODc2ODg2M2M5YWRiXkEyXkFqcGc@._V1_.jpg,8.2,25493
639,tt21398196,Siya,2022,"Crime, Drama","Siya, a 17-year-old rape survivor, decides to go against all odds and fight for justice after being held captive and repeatedly abused by a group of powerful men. Can she win against the perpetrators?",Manish Mundra,"Stephen Alexander, Rudra Pratap Singh Chaudhary, Dev Chauhan, Madhvendra Jha",https://m.media-amazon.com/images/M/MV5BNDQ5NzY5YTUtYzZiYy00YThhLThhNzgtZWM0YTM5OTUyNjBmXkEyXkFqcGc@._V1_.jpg,7.4,6586
640,tt1562859,Golmaal 3,2010,"Action, Comedy, Drama","In Goa, Pritam meets his love Geeta after many years. They decide to get married but the feud between their respective children creates tension in their marriage.",Rohit Shetty,"Mithun Chakraborty, Ajay Devgn, Kareena Kapoor, Tusshar Kapoor",https://m.media-amazon.com/images/M/MV5BMmEyM2M5OTItYjU1Ni00Mjk2LTgzZTMtOGZhZGU4MTA2MzcxXkEyXkFqcGc@._V1_.jpg,5.7,10448
641,tt6972140,Blackmail,2018,"Comedy, Thriller","When Dev finds out his wife is cheating on him, he secretly blackmails his wife and her lover as a form of revenge.",Abhinay Deo,"Irrfan Khan, Urmila Matondkar, Divya Dutta, Kirti Kulhari",https://m.media-amazon.com/images/M/MV5BZGIwODIyY2ItNWYyOC00YWE3LWI3ZjgtNTNhY2MxNzA2Mjk2XkEyXkFqcGc@._V1_.jpg,7.1,12231
642,tt0077451,Don,1978,"Action, Crime, Thriller","Don, a wanted criminal, dies in a police chase. DSP D'Silva is the only one who knows about his death, and to get hold of the gang he trains Don-lookalike Vijay. But Vijay faces danger from the police and from within the gang.",Chandra Barot,"Amitabh Bachchan, Zeenat Aman, Pran Sikand, Iftekhar",https://m.media-amazon.com/images/M/MV5BNDIyN2U3NDItZjFlYy00OWQ4LTg4Y2UtOGU2OGU5MWE5MmZhXkEyXkFqcGc@._V1_.jpg,7.7,13080
643,tt4906960,Baadshaho,2017,"Action, Adventure, Thriller",An Indian queen asks her bodyguard to steal back gold taken from her by the Indian government during The Emergency period in 1975.,Milan Luthria,"Ajay Devgn, Ileana D'Cruz, Emraan Hashmi, Esha Gupta",https://m.media-amazon.com/images/M/MV5BNzQwOTQ1MTItZGMwMy00MTlkLTk4ZWItM2JhMDVjMzA5YzRhXkEyXkFqcGc@._V1_.jpg,4.9,5408
644,tt19838608,Babli Bouncer,2022,"Comedy, Drama","A one-of-a-kind story of a female bouncer, the film follows Babli Bouncer (Tamannaah Bhatia). It explores the various facets of the profession, which is usually dominated by men.",Madhur Bhandarkar,"Tamannaah Bhatia, Sahil Vaid, Karan Singh Chhabra, Abhishek Bajaj",https://m.media-amazon.com/images/M/MV5BNWVmYmFlOGUtMTk5Yy00MDFmLWEzZGYtZjM4ODhlOTVjOTNmXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,6.5,9149
645,tt1714866,Midnight's Children,2012,Drama,A pair of children born within moments of India gaining independence from Britain grow up in the country that is nothing like their parents' generation.,Deepa Mehta,"Rajat Kapoor, Vansh Bhardwaj, Anupam Kher, Neha Mahajan",https://m.media-amazon.com/images/M/MV5BZDc5YzYwMmMtNTUxYi00YmYxLTgxNjQtODVmNTc0YWVmOTdlXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_.jpg,6.2,3397
646,tt3337550,Rahasya,2015,"Mystery, Thriller","A Doctor stands accused of killing his own eighteen-year old daughter. While this aggrieved father protests his innocence, all evidence points towards him irrefutably. While his own wife ...                See full summary »",Manish Gupta,"Kay Kay Menon, Ashish Vidyarthi, Tisca Chopra, Mita Vashisht",https://m.media-amazon.com/images/M/MV5BZTcyNjJmYTgtMmM5OS00N2Q2LTliYzgtNzg3NjJhMjYzODJlXkEyXkFqcGc@._V1_.jpg,7.5,5828
647,tt9511468,Love-All,2023,Sport,"It is the story of a father, a son, and a sport connecting their destinies. Talent lifts a man towards fame yet destiny had other ideas and challenges to chase passion against all odds.",Sudhanshu Sharma,"Satyakam Anand, Sumit Arora, Raja Bundela, Robin Das",https://m.media-amazon.com/images/M/MV5BYTgzYzJhMWUtZTlhYi00OTc4LThkOTYtNmRhNjI5NzkxYjRiXkEyXkFqcGc@._V1_.jpg,8,168
648,tt0200087,Sarfarosh,1999,"Action, Crime, Drama","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",John Mathew Matthan,"Naseeruddin Shah, Aamir Khan, Sonali Bendre, Mukesh Rishi",https://m.media-amazon.com/images/M/MV5BMTQwOWFhY2QtZDBjYS00YzY3LWEyNTItOGQxMjU1ZWI3ODYxXkEyXkFqcGc@._V1_.jpg,8.1,27456
649,tt2978626,Entertainment,2014,"Action, Comedy, Drama","Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it.","Sajid, Farhad Samji","Akshay Kumar, Tamannaah Bhatia, Junior, Krishna Abhishek",https://m.media-amazon.com/images/M/MV5BYzI0NmI5NDctZmUzNi00OWI0LWJhODAtMjg2Njc4MjY1NThkXkEyXkFqcGc@._V1_.jpg,4.6,10383
650,tt22036406,Kanguva,2024,"Action, Drama, Fantasy",Add a Plot,Siva,"Suriya, Disha Patani, Yogi Babu, Bobby Deol",https://m.media-amazon.com/images/M/MV5BYTQyMzQ3ZTQtNTFlZS00ZmVmLWEzYjMtZTFhZjU1NjYxZDVjXkEyXkFqcGc@._V1_.jpg,5.1,12231
651,tt10309902,Chehre,2021,"Drama, Mystery, Thriller","An 80-year-old man with a penchant for real life games in a story about rights and wrongs. It's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment.",Rumi Jaffery,"Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Annu Kapoor",https://m.media-amazon.com/images/M/MV5BNGUwMTZjYTMtY2RmMC00N2MxLWE0MjktZGRiNjAwNjk3ZTQ5XkEyXkFqcGc@._V1_.jpg,6.2,28183
652,tt13825336,Good Luck Jerry,2022,"Comedy, Crime, Drama","The film is the official remake of Tamil movie Kolamaavu Kokila, which tells the story of an innocent girl who gets pulled into the notorious world of cocaine smuggling.",Siddharth Sen,"Janhvi Kapoor, Jaswant Dalal, Deepak Dobriyal, Mita Vashisht",https://m.media-amazon.com/images/M/MV5BNDk0NDY3YTUtZGRhZC00YTMxLWJhMjktYjUwM2E3YTMwNzVkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,5.5,5880
653,tt7881550,Kaamyaab,2018,Drama,"Sudheer is an actor from the heyday of Bollywood. Years after his retirement, he realizes that he 'retired' on the verge of accomplishing a unique record. He decides to come out of his retirement to complete the round figure of 500.",Hardik Mehta,"Sanjay Mishra, Deepak Dobriyal, Sarika Singh, Isha Talwar",https://m.media-amazon.com/images/M/MV5BOTlhODQyMjItYzA0OC00YzkxLWE2MjctMDgzNjdmNTM2MDU2XkEyXkFqcGc@._V1_.jpg,7.7,4578
654,tt0430328,Madhoshi,2004,"Musical, Mystery, Drama",Anupama looses her sister and her husband in 9/11 twin tower attacks and goes in trauma.Three years later she appears to be normal but hasn't come out of the tragedy.Her parents want her to...                See full summary »,Tanveer Khan,"Bipasha Basu, John Abraham, Priyanshu Chatterjee, Prakash Bharadwaj",https://m.media-amazon.com/images/M/MV5BNmU1NjI4MDUtMzJiOS00M2E5LWEyOWMtYTg3OWM3MmI2MmIxXkEyXkFqcGc@._V1_.jpg,4.6,478
655,tt1573072,Housefull,2010,"Comedy, Drama, Romance","Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies.",Sajid Khan,"Akshay Kumar, Deepika Padukone, Riteish Deshmukh, Lara Dutta",https://m.media-amazon.com/images/M/MV5BNDE4ZWIwOWMtZjgwZS00YjQwLWE4ZWYtMDZhZGZlNjkzZjAyXkEyXkFqcGc@._V1_.jpg,5.6,16469
656,tt5668770,Mardaani 2,2019,"Action, Crime, Drama",A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?,Gopi Puthran,"Rani Mukerji, Avneet Kaur, Sunny Hinduja, Shruti Bapna",https://m.media-amazon.com/images/M/MV5BOGYwMjE4ZDgtNzdmMi00YTFjLTgyMDUtMGE5MDI4ZGRiYTY2XkEyXkFqcGc@._V1_.jpg,7.3,10538
657,tt13623916,Toolsidas Junior,2022,"Drama, Family, Sport","Watching his father lose the 1994 Club Snooker Championship, 13-year-old Midi takes on the impossible journey to bring his father's name on the Winner's Board.",Mridul Toolsidas,"Sanjay Dutt, Rajeev Kapoor, Varun Buddhadev, Ankur Vikal",https://m.media-amazon.com/images/M/MV5BMGFlYjVkMWMtMDM2MC00ZmQ3LThmMjUtMDYyMGRlOGJmNjgyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7.4,2688
